material entropic redshift and the rsvp stack	Material: Entropic Redshift and the RSVP Stack	citation-only	1	standardgalactic/alphabet/projects/entropic-redshift-supplement.tex
replayable memory and the cognitive basis of abstraction	Replayable Memory and the Cognitive Basis of Abstraction	standalone	1	standardgalactic/research-projects/epistemology/spherepop/Replayable-Memory.tex
resonance without a substrate consistency constraints on endogenous memory compression	Resonance Without a Substrate Consistency Constraints on Endogenous Memory Compression	standalone	1	standardgalactic/TARTAN/analysis/resonance-without-a-substrate.tex
restorability boundaries	Restorability Boundaries	standalone	1	standardgalactic/calculus/experiments/restorability-boundaries.tex
restoration before explanation 0 3em why systems can be repaired before they are understood	Restoration Before Explanation [0.3em] Why Systems Can Be Repaired Before They Are Understood	standalone	1	standardgalactic/calculus/processing/restoration-before-explanation.tex
retention before retrieval sparse distinction and the cost of carrying a past	Retention Before Retrieval: Sparse Distinction and the Cost of Carrying a Past	standalone	1	standardgalactic/alphabet/pipeline/retention_before_retrieval.tex
roads not taken encoding ratchets in cinema computation and cosmology	Roads Not Taken: Encoding Ratchets in Cinema, Computation, and Cosmology	standalone	2	standardgalactic/kitbash/cosmology/essay/essay.tex
rotation before number admissibility geometry and the quotient structure of quantum mechanics	Rotation Before Number: Admissibility, Geometry, and the Quotient Structure of Quantum Mechanics	standalone	1	standardgalactic/spherepop/textbook/rotation_admissibility.tex
scalar extraction in platform capitalism a field theoretic economic and algorithmic theory of extractive social networks and their non extractive redesign	Scalar Extraction in Platform Capitalism: A Field-Theoretic, Economic, and Algorithmic Theory of Extractive Social Networks and Their Non-Extractive Redesign	standalone	3	standardgalactic/alphabet/Scalar-Extraction.tex
scope memeplexes the enshittification crisis as an interface war	Scope Memeplexes: The Enshittification Crisis as an Interface War	standalone	1	standardgalactic/standardgalactic/Scope Memeplexes.tex
scope as geometry in time bound systems a history first foundation for computation and meaning	Scope as Geometry in Time-Bound Systems A History-First Foundation for Computation and Meaning	standalone	1	standardgalactic/spherepop/Scope as Geometry.tex
selective retention and the geometry of continuation	Selective Retention and the Geometry of Continuation	standalone	2	standardgalactic/computation/continuation_geometry.tex
self improving systems and media quines 0 3em an admissibility theoretic approach to recursive generation	Self-Improving Systems and Media Quines [0.3em] An Admissibility-Theoretic Approach to Recursive Generation	standalone	1	standardgalactic/calculus/quantum-mechanics/self_improving_media_quines.tex
semantic consistency as a systems invariant replay abstraction and event sourced computation	Semantic Consistency as a Systems Invariant: Replay, Abstraction, and Event-Sourced Computation	standalone	1	standardgalactic/research-projects/epistemology/spherepop/Semantic-Consistency.tex
semantic entropy formalism	Semantic Entropy Formalism	standalone	1	standardgalactic/research-projects/paper/semantic_entropy_formalism.tex
semantic stability as a repair equilibrium threshold attenuation and irreversible collapse in constraint bounded semantic trees	Semantic Stability as a Repair Equilibrium Threshold, Attenuation, and Irreversible Collapse in Constraint-Bounded Semantic Trees	standalone	1	standardgalactic/alphabet/research/semantic_stability.tex
sheaf theoretic coherence in distributed cognition bridging rsvp and operator ecology	Sheaf-Theoretic Coherence in Distributed Cognition: Bridging RSVP and Operator Ecology	standalone	1	standardgalactic/spherepop/processing/adaptive-trust/Adaptive_Trust_Dynamics_Corpus/Cycle1_Diagnosis/essay_1_05.tex
signal correction in punitive socio fields rsvp for restorative justice	Signal Correction in Punitive Socio-Fields: RSVP for Restorative Justice	standalone	1	standardgalactic/spherepop/processing/adaptive-trust/Adaptive_Trust_Dynamics_Corpus/Cycle2_Renewal/essay_2_08.tex
simulated agency as active control a unified framework integrating choice theory perceptual control theory the free energy principle sparse semantic projection and sheaf theoretic coherence	Simulated Agency as Active Control: A Unified Framework Integrating Choice Theory, Perceptual Control Theory, the Free Energy Principle, Sparse Semantic Projection, and Sheaf-Theoretic Coherence	standalone	1	standardgalactic/research-projects/active-inference/monograph.tex
simulation as civic infrastructure preference revelation and the end of narrative coordination	Simulation as Civic Infrastructure Preference Revelation and the End of Narrative Coordination	standalone	1	standardgalactic/library/Simulation as Civic Infrastructure.tex
specification of the distinction first pipeline continuation accretion and externalized memory in a local model essay writing system	Specification of the Distinction-First Pipeline: Continuation, Accretion, and Externalized Memory in a Local-Model Essay-Writing System	standalone	1	standardgalactic/alphabet/pipeline/pipeline_specification.tex
spectacle runtime and the compression of meaning temporal form social media and the reformatting of collective belief 0 5em a study in media ecology epistemic architecture and the formal conditions of semantic depth	Spectacle Runtime and the Compression of Meaning: Temporal Form, Social Media, and the Reformatting of Collective Belief [0.5em] A Study in Media Ecology, Epistemic Architecture, and the Formal Conditions of Semantic Depth	standalone	1	standardgalactic/alphabet/Spectacle Runtime.tex
spectral universality in complex systems random matrices cortical resonance and rsvp dynamics	Spectral Universality in Complex Systems: Random Matrices, Cortical Resonance, and RSVP Dynamics	standalone	1	standardgalactic/library/spectral-universality/spectral-universality.tex
spherepop 0 35em the rsvp field in complex phase space	SpherePop [0.35em] The RSVP Field in Complex Phase Space	standalone	1	standardgalactic/alphabet/aphantasia/quantum-spherepop.tex
spherepop calculus	Spherepop Calculus	standalone	1	standardgalactic/spherepop/monograph/spherepop-calculus.tex
spherepop calculus and amplitwistor computation a geometric thermodynamic foundation for ai	Spherepop Calculus and Amplitwistor Computation: A Geometric--Thermodynamic Foundation for AI	standalone	1	standardgalactic/spherepop/spherepop-foundations.tex
spherepop calculus a formal framework for technological dynamics resistance and prefiguration	Spherepop Calculus: A Formal Framework for Technological Dynamics, Resistance, and Prefiguration	standalone	1	standardgalactic/research-projects/spherepop-calculus.tex
spherepop calculus internalizing probability concurrency and geometry	Spherepop Calculus: Internalizing Probability, Concurrency, and Geometry	standalone	2	standardgalactic/spherepop/essay/spherepop_calculus.tex
spherepop os a deterministic semantic operating system formal specification and architectural rationale	Spherepop OS: A Deterministic Semantic Operating System\ Formal Specification and Architectural Rationale	standalone	1	standardgalactic/spherepop/Spherepop-OS.tex
spherepop os deterministic semantic computation below language	Spherepop OS: Deterministic Semantic Computation Below Language	standalone	1	standardgalactic/research-projects/epistemology/Spherepop-OS-alternate.tex
spherepop trajectory collapse a first person game for visualizing semantic uncertainty	Spherepop Trajectory Collapse: A First-Person Game for Visualizing Semantic Uncertainty	standalone	1	standardgalactic/spherepop/Spherepop Trajectory Collapse.tex
spherepop in haskell core and parallel variants	Spherepop in Haskell: Core and Parallel Variants	standalone	1	standardgalactic/spherepop/prototypes/docs/spherepop-haskell-tutorial.tex
spherepop in python usage and development notes	Spherepop in Python: Usage and Development Notes	standalone	1	standardgalactic/spherepop/prototypes/docs/spherepop-python-tutorial.tex
spherepop in racket a short tutorial	Spherepop in Racket: A Short Tutorial	standalone	1	standardgalactic/spherepop/prototypes/docs/spherepop-racket-tutorial.tex
spherepop a language for geometric computation unified rigorous specification	Spherepop: A Language for Geometric Computation Unified Rigorous Specification	standalone	1	standardgalactic/spherepop/processing/essay.tex
spherepop a language for geometric computation unified specification	Spherepop: A Language for Geometric Computation Unified Specification	standalone	2	standardgalactic/spherepop/Spherepop_Specifications.tex
states without histories latent reasoning as admissibility field traversal	States Without Histories: Latent Reasoning as Admissibility-Field Traversal	standalone	1	standardgalactic/alphabet/roadmap/states_without_histories.tex
stochastic revision models for document evolution generative writing dynamics and visualization pipelines	Stochastic Revision Models for Document Evolution, Generative Writing Dynamics, and Visualization Pipelines	standalone	1	standardgalactic/research-projects/textmonod-essay/stochastic-revision-models.tex
strategic refusal intelligence after goodhart	Strategic Refusal: Intelligence After Goodhart	standalone	1	standardgalactic/research-projects/epistemology/Strategic-Refusal.tex
structural honesty the preservation of recoverable warrant across transformations	Structural Honesty: The Preservation of Recoverable Warrant Across Transformations	standalone	1	standardgalactic/antivenom/essay/structural-honesty.tex
structural semantics	Structural Semantics	standalone	1	standardgalactic/kitbash/philosophy/structural-semantics.tex
structural thinking 6pt a history of computation and the geometry of ideas	Structural Thinking [6pt] A History of Computation and the Geometry of Ideas	standalone	1	standardgalactic/syllabus/03_structural_thinking.tex
structured irreversibility discrete rewriting and coherence realization	Structured Irreversibility Discrete Rewriting and Coherence Realization	standalone	3	standardgalactic/spherepop/Structured Irreversibility.tex
substrate independent thinking hypothesis sith life meaning and the autocatalytic closure of information	Substrate Independent Thinking Hypothesis (SITH): Life, Meaning, and the Autocatalytic Closure of Information	standalone	4	standardgalactic/alphabet/SITH Theory.tex
sufficient conditions for anti admissibility via composed ritual and cryptographic resistances in spherepop pop regimes	Sufficient Conditions for Anti-Admissibility via Composed Ritual and Cryptographic Resistances in Spherepop Pop Regimes	standalone	1	standardgalactic/research-projects/anti-admissibility.tex
surprise minimization solomonoff induction and expected free energy a formal analysis with curvature dynamics variational flow and minimal complexity niches	Surprise Minimization, Solomonoff Induction, and Expected Free Energy: A Formal Analysis with Curvature Dynamics, Variational Flow, and Minimal-Complexity Niches	standalone	1	standardgalactic/antivenom/active-inference/surprise-minimization.tex
tartan trajectory aware recursive tiling with annotated noise 0 5em a sheaf variational architecture for world state reconstruction and ontological adaptation	TARTAN: Trajectory-Aware Recursive Tiling with Annotated Noise [0.5em] A Sheaf--Variational Architecture for World-State Reconstruction and Ontological Adaptation	standalone	1	standardgalactic/TARTAN/tartan.tex
tacit knowledge as cryptographic boundary entropy in spherepop a playcosmic formalization of polanyi	Tacit Knowledge as Cryptographic Boundary Entropy in Spherepop: A Playcosmic Formalization of Polanyi	standalone	1	standardgalactic/research-projects/polanyi-spherepop.tex
temporal synchronization in multi agent agency clio operators for detection	Temporal Synchronization in Multi-Agent Agency: CLIO Operators for Detection	standalone	1	standardgalactic/spherepop/processing/adaptive-trust/Adaptive_Trust_Dynamics_Corpus/Cycle2_Renewal/essay_2_16.tex
tensorial ethics in recursive markets curvature metrics for fair futarchy	Tensorial Ethics in Recursive Markets: Curvature Metrics for Fair Futarchy	standalone	1	standardgalactic/spherepop/processing/adaptive-trust/Adaptive_Trust_Dynamics_Corpus/Cycle2_Renewal/essay_2_03.tex
terminal and traversal dependent texts a theory of what reading actually costs	Terminal and Traversal-Dependent Texts A Theory of What Reading Actually Costs	standalone	1	standardgalactic/research-projects/history/terminal-and-traversal.tex
text as substrate on semantic compression and the emergence of a universal representational medium	Text as Substrate: On Semantic Compression and the Emergence of a Universal Representational Medium	standalone	4	standardgalactic/library/text_as_substrate.tex
the admissibility crisis 0 4em on the collapse of future option space	The Admissibility Crisis [0.4em] On the Collapse of Future Option Space	standalone	1	standardgalactic/alphabet/document/admissibility_crisis.tex
the admissibility log 0 5em resolution commitment and the geometry of action	The Admissibility Log [0.5em] Resolution, Commitment, and the Geometry of Action	standalone	1	standardgalactic/research-projects/paper/admissibility-log.tex
the age of artificial coordination optimization entropy and the collapse of conserved meaning	The Age of Artificial Coordination Optimization, Entropy, and the Collapse of Conserved Meaning	standalone	1	standardgalactic/antivenom/Artificial Coordination.tex
the architecture of ideas 6pt constraints abstraction and the structure of thinking	The Architecture of Ideas [6pt] Constraints, Abstraction, and the Structure of Thinking	standalone	1	standardgalactic/syllabus/02_architecture_of_ideas.tex
the assumption of surplus startup culture advertising economies and the boundary conditions of growth	The Assumption of Surplus: Startup Culture, Advertising Economies, and the Boundary Conditions of Growth	standalone	1	standardgalactic/antivenom/The Assumption of Surplus.tex
the autonomy of refusal constraint residue and the geometry of persistence	The Autonomy of Refusal Constraint, Residue, and the Geometry of Persistence	standalone	2	standardgalactic/research-projects/textbook/autonomy-of-refusal.tex
the autonomy of refusal abstraction agency and the limits of scalable intelligence	The Autonomy of Refusal: Abstraction, Agency, and the Limits of Scalable Intelligence	standalone	1	standardgalactic/spherepop/the-autonomy-of-refusal.tex
the care domestication spectrum thresholds in ai human evolutionary creativity	The Care–Domestication Spectrum: Thresholds in AI-Human Evolutionary Creativity	standalone	1	standardgalactic/spherepop/processing/adaptive-trust/Adaptive_Trust_Dynamics_Corpus/Cycle1_Diagnosis/essay_1_17.tex
the categorical structure of alignment 0 4em representation motivation and the preservation of normative invariants	The Categorical Structure of Alignment [0.4em] Representation, Motivation, and the Preservation of Normative Invariants	standalone	1	standardgalactic/research-projects/categorical-structure-of-alignment.tex
the cognitive action reinforcement as field	The Cognitive Action: Reinforcement as Field	standalone	1	standardgalactic/alphabet/manuscripts/cognitive-action/essay.tex
the commodification of categories platform economics and the collapse of epistemic gatekeeping	The Commodification of Categories Platform Economics and the Collapse of Epistemic Gatekeeping	standalone	1	standardgalactic/antivenom/The Commodification of Categories.tex
the compression fallacy 0 3em why shorter is not the same as better understood	The Compression Fallacy [0.3em] Why Shorter Is Not the Same as Better Understood	standalone	1	standardgalactic/calculus/processing/compression-fallacy.tex
the compression of expertise	The Compression of Expertise	standalone	1	standardgalactic/alphabet/example/compression-of-expertise.tex
the continuation geometry of circuits	The Continuation Geometry of Circuits	standalone	2	standardgalactic/robotics/continuation_geometry_of_circuits.tex
the coordinate system error misdiagnosis in the theories of attention efficiency and technological progress	The Coordinate-System Error: Misdiagnosis in the Theories of Attention, Efficiency, and Technological Progress	standalone	3	standardgalactic/alphabet/attention-essay.tex
the coordination engine civilization as an error correcting system	The Coordination Engine: Civilization as an Error-Correcting System	standalone	3	standardgalactic/library/processing/The Coordination Engine.tex
the deliberate collapse of cognitive multiplicity event history architectural constraint and the economics of memory	The Deliberate Collapse of Cognitive Multiplicity: Event-History, Architectural Constraint, and the Economics of Memory	standalone	1	standardgalactic/antivenom/event-history.tex
the dynamics of learning excess capacity interpolation and cognitive structure	The Dynamics of Learning: Excess Capacity, Interpolation, and Cognitive Structure	standalone	1	standardgalactic/alphabet/research/dynamics-of-learning.tex
the ecology of constraints 4pt feasibility and diversity in constraint populations	The Ecology of Constraints [4pt] Feasibility and Diversity in Constraint Populations	standalone	1	standardgalactic/alphabet/example/ecology-of-constraints.tex
the eight letter keyboard motor compression finger identity and hierarchical symbolic access	The Eight-Letter Keyboard: Motor Compression, Finger Identity, and Hierarchical Symbolic Access	standalone	1	standardgalactic/research-projects/admissibility-lab/eight_letter_keyboard.tex
the ergonomics of prediction gesture ergodicity and the cost of micro friction in trace based keyboards	The Ergonomics of Prediction: Gesture, Ergodicity, and the Cost of Micro-Friction in Trace-Based Keyboards	standalone	2	standardgalactic/research-projects/The Ergonomics of Prediction.tex
the failure of project xanadu	The Failure of Project Xanadu	standalone	1	standardgalactic/kitbash/The Failure of Project Xanadu.tex
the fall of space entropic relaxation and structure without expansion in a scalar vector plenum	The Fall of Space: Entropic Relaxation and Structure Without Expansion in a Scalar-Vector Plenum	standalone	7	standardgalactic/kitbash/research/math/entropic-gravity.tex
the forkability of time	The Forkability of Time	standalone	1	standardgalactic/spherepop/The Forkability of Time.tex
the genius of silence ludwig wittgenstein and the discipline of clarity	The Genius of Silence Ludwig Wittgenstein and the Discipline of Clarity	standalone	1	standardgalactic/alphabet/The Genius of Silence.tex
the geometry of boredom 4pt compression progress and the conditions of sustained attention	The Geometry of Boredom [4pt] Compression Progress and the Conditions of Sustained Attention	standalone	1	standardgalactic/alphabet/example/geometry-of-boredom.tex
the geometry of constraints 0 6em adversarial representations fibrational semantics and the dependency architecture of formal systems	The Geometry of Constraints [0.6em] Adversarial Representations, Fibrational Semantics, and the Dependency Architecture of Formal Systems	standalone	2	standardgalactic/alphabet/manuscripts/geometry_of_constraints.tex
the geometry of control 0 5em admissibility reachability and projection collapse in prisoners of power	The Geometry of Control [0.5em] Admissibility, Reachability, and Projection Collapse in Prisoners of Power	standalone	1	standardgalactic/kitbash/paperbot/geometry-of-control.tex
the geometry of outrage a field theoretic analysis of the attention economy	The Geometry of Outrage: A Field-Theoretic Analysis of the Attention Economy	standalone	1	standardgalactic/gamma-waves/The Geometry of Outrage.tex
the geometry of recognition	The Geometry of Recognition	standalone	1	standardgalactic/alphabet/cognition-research/essay/monograph.tex
the geometry of rewiring ecological networks admissible trajectories and the conservation of transformability	The Geometry of Rewiring: Ecological Networks, Admissible Trajectories, and the Conservation of Transformability	standalone	1	standardgalactic/alphabet/ecology/geometry_of_rewiring.tex
the historical screenplay as spherepop program executable history semantic collapse and three notions of narrative truth	The Historical Screenplay as Spherepop Program Executable History, Semantic Collapse, and Three Notions of Narrative Truth	standalone	1	standardgalactic/alphabet/research/screenplay_as_program.tex
the history of spherepop from language games to universal computation	The History of Spherepop: From Language Games to Universal Computation	standalone	1	standardgalactic/spherepop/history/The History of Spherepop.tex
the hollow network 0 5em synthetic sociality metric misalignment and the politics of legibility in algorithmically mediated environments	The Hollow Network [0.5em] Synthetic Sociality, Metric Misalignment, and the Politics of Legibility in Algorithmically Mediated Environments	standalone	1	standardgalactic/antivenom/resources/synthetic_sociality.tex
the hostile interface advertising saturation and the collapse of the social information environment	The Hostile Interface: Advertising Saturation and the Collapse of the Social Information Environment	standalone	1	standardgalactic/antivenom/The Hostile Interface.tex
the joy of spherepop an event history calculus for a finite world	The Joy of Spherepop: An Event--History Calculus for a Finite World	standalone	2	standardgalactic/spherepop/Joy-of-Spherepop.tex
the ladder and the artifact publication as projection	The Ladder and the Artifact: Publication as Projection	standalone	1	standardgalactic/alphabet/pipeline/publication_as_projection.tex
the limits of interpretability	The Limits of Interpretability	standalone	1	standardgalactic/research-projects/interpretability/The Limits of Interpretability.tex
the logic of redundancy	The Logic of Redundancy	standalone	1	standardgalactic/library/The Logic of Redundancy.tex
the mereological space ontology glyphs scales and the observer in a layered part whole universe	The Mereological Space Ontology: Glyphs, Scales, and the Observer in a Layered Part--Whole Universe	standalone	1	standardgalactic/userspace/essay.tex
the monetization of redundancy tokenization and the enclosure of computation	The Monetization of Redundancy: Tokenization and the Enclosure of Computation	standalone	2	standardgalactic/antivenom/Monetization-of-Redundancy.tex
the moon should not be a computer	The Moon Should Not Be a Computer	standalone	2	standardgalactic/computation/moon-not-computer.tex
the mortality of computation a structural theory of displacement	The Mortality of Computation: A Structural Theory of Displacement	standalone	1	standardgalactic/alphabet/The Mortality of Computation.tex
the myth of dual cognition automaticity attention and the misreading of system 1	The Myth of Dual Cognition Automaticity, Attention, and the Misreading of System~1	standalone	1	standardgalactic/library/The Myth of Dual Cognition.tex
the noise tax entropy responsibility and the economics of coherence	The Noise Tax: Entropy, Responsibility, and the Economics of Coherence	standalone	1	standardgalactic/kitbash/controversial-topics/background/monograph.tex
the ontology of self organizing forms a unified variational field theory of structure and identity	The Ontology of Self-Organizing Forms: A Unified Variational Field Theory of Structure and Identity	standalone	1	standardgalactic/arabic-flashcards/monograph.tex
the paradox of permeability trust hysteresis in geozotic power systems	The Paradox of Permeability: Trust Hysteresis in Geozotic Power Systems	standalone	1	standardgalactic/spherepop/processing/adaptive-trust/Adaptive_Trust_Dynamics_Corpus/Cycle1_Diagnosis/essay_1_06.tex
the physics of understanding fixed point causality cognitive resource theory and the thermodynamics of learning	The Physics of Understanding: Fixed-Point Causality, Cognitive Resource Theory, and the Thermodynamics of Learning	standalone	1	standardgalactic/alphabet/workspace/essay.tex
the playcosm meets the technological society privilege gates as pop regimes and prefigurative affordances as anti admissible spheres	The Playcosm Meets the Technological Society: Privilege Gates as Pop Regimes and Prefigurative Affordances as Anti-Admissible Spheres	standalone	1	standardgalactic/research-projects/spherepop-derivation.tex
the polemic debt critical momentum and the cognitive economics of refutation	The Polemic Debt Critical Momentum and the Cognitive Economics of Refutation	standalone	1	standardgalactic/antivenom/The Polemic Debt.tex
the power to choose the counterfactual effective demand intersubjectivity collapse and the architecture of global deprivation	The Power to Choose the Counterfactual: Effective Demand, Intersubjectivity Collapse, and the Architecture of Global Deprivation	standalone	1	standardgalactic/antivenom/essay/counterfactual.tex
the rsvp treatise semantic infrastructure and modular computation in an entropy respecting universe	The RSVP Treatise: Semantic Infrastructure and Modular Computation in an Entropy-Respecting Universe	standalone	9	standardgalactic/gamma-waves/essay/processing/essay.tex
the rsvp polyxan universe a unified theory of meaning curvature and verification	The RSVP--Polyxan Universe: A Unified Theory of Meaning, Curvature, and Verification	standalone	1	standardgalactic/research-projects/to_process/main.tex
the recursive singularity in cultural evolution bounded narratives for long term coherence	The Recursive Singularity in Cultural Evolution: Bounded Narratives for Long-Term Coherence	standalone	1	standardgalactic/spherepop/processing/adaptive-trust/Adaptive_Trust_Dynamics_Corpus/Cycle1_Diagnosis/essay_1_20.tex
the semantic singularity when recursive interpretation exceeds dissipative capacity	The Semantic Singularity: When Recursive Interpretation Exceeds Dissipative Capacity	standalone	1	standardgalactic/spherepop/processing/adaptive-trust/Adaptive_Trust_Dynamics_Corpus/Cycle1_Diagnosis/essay_1_02.tex
the semantic state memnet institutional routing and the governance of meaning	The Semantic State: MEMNET, Institutional Routing, and the Governance of Meaning	standalone	2	8b-is/8b-public-documents/semantic_state.tex
the stack capture race	The Stack Capture Race	standalone	1	standardgalactic/library/The Stack Capture Race.tex
the stone piano hypothesis neanderthal lithophones and the acoustic interpretation of the bruniquel cave structures	The Stone Piano Hypothesis: Neanderthal Lithophones and the Acoustic Interpretation of the Bruniquel Cave Structures	standalone	1	standardgalactic/calculus/stone_piano.tex
the termite neuron forest triad marginalized intelligences in ecological agency	The Termite–Neuron–Forest Triad: Marginalized Intelligences in Ecological Agency	standalone	1	standardgalactic/spherepop/processing/adaptive-trust/Adaptive_Trust_Dynamics_Corpus/Cycle1_Diagnosis/essay_1_10.tex
the thermodynamics of knowledge ecosystems 0 5em entropy freedom and the ethics of repair	The Thermodynamics of Knowledge Ecosystems 0.5em Entropy, Freedom, and the Ethics of Repair	standalone	1	standardgalactic/kitbash/essay/knowledge-ecosystems.tex
the threshold of deferral 4pt a crossover theorem for maintenance and repair	The Threshold of Deferral [4pt] A Crossover Theorem for Maintenance and Repair	standalone	1	standardgalactic/alphabet/example/threshold-of-deferral.tex
the useless work problem in blockchain economies thermodynamics semantic structure and cognitive control	The Useless Work Problem in Blockchain Economies: Thermodynamics, Semantic Structure, and Cognitive Control	standalone	1	standardgalactic/antivenom/monograph/blockchain-critique.tex
thermodynamic reachability geometric bayesianism with sparse heuristics in dynamically constrained systems	Thermodynamic Reachability Geometric Bayesianism with Sparse Heuristics in Dynamically Constrained Systems	standalone	1	standardgalactic/library/Thermodynamic-Reachability.tex
thinking in vim 0 3em a structural reference to modal editing	Thinking in Vim [0.3em] A Structural Reference to Modal Editing	standalone	1	peterlodri-sec/vim-philosophy/essays/thinking-in-vim/main.tex
three smoothing mechanisms in early cosmology inflaton geometric and lamphrodyne relaxation	Three Smoothing Mechanisms in Early Cosmology: Inflaton, Geometric, and Lamphrodyne Relaxation	standalone	1	standardgalactic/alphabet/cosmology/three_smoothing_mechanisms.tex
throwing the game refusal event driven cognition and the survival of value beyond autoregressive intelligence	Throwing the Game: Refusal, Event-Driven Cognition, and the Survival of Value Beyond Autoregressive Intelligence	standalone	2	standardgalactic/spherepop/Throwing-the-game.tex
time as irreversible constraint accumulation an event based interpretation of proper time entropy and dissipative structure	Time as Irreversible Constraint Accumulation: An Event-Based Interpretation of Proper Time, Entropy, and Dissipative Structure	standalone	3	standardgalactic/kitbash/physics/constraint-accumulation.tex
topology of intention 0 4em process based identity and the geometric binding of the self	Topology of Intention [0.4em] Process-Based Identity and the Geometric Binding of the Self	standalone	7	standardgalactic/alphabet/research/topology_of_intention.tex
toward scalable alignment a theory of invariant objectives under optimization and scale	Toward Scalable Alignment: A Theory of Invariant Objectives Under Optimization and Scale	standalone	2	standardgalactic/alphabet/economics/scalable-alignment-01.tex
toward scalable alignment a theory of invariant objectives under optimization and scale 5pt a revolutionary formalism for true ai alignment	Toward Scalable Alignment: A Theory of Invariant Objectives Under Optimization and Scale [5pt] (A Revolutionary Formalism for True AI Alignment)	standalone	1	standardgalactic/alphabet/economics/scalable-alignment.tex
toward a distributed industrial cloud 0 5em peer to peer infrastructure for material production storage and compute	Toward a Distributed Industrial Cloud [0.5em] Peer-to-Peer Infrastructure for Material Production, Storage, and Compute	standalone	1	standardgalactic/alphabet/processing/distributed_industrial_cloud.tex
trajectory and residue 0 5em how work becomes what continues to hold	Trajectory and Residue [0.5em] How Work Becomes What Continues to Hold	standalone	5	standardgalactic/antivenom/projects/constraint_closure-1.tex
transformation before representation a compositional operator basis for cognition gesture and narrative	Transformation Before Representation: A Compositional Operator Basis for Cognition, Gesture, and Narrative	standalone	1	standardgalactic/kitbash/Transformation Before Representation.tex
trigonometry and transformation	Trigonometry and Transformation	standalone	1	standardgalactic/calculus/experiments/trig-textbook/main.tex
trust dynamics exhibit hysteresis 0 5em implications for ai governance and institutional design	Trust Dynamics Exhibit Hysteresis [0.5em] Implications for AI Governance and Institutional Design	standalone	1	standardgalactic/spherepop/processing/adaptive-trust/monograph.tex
trust dynamics complete corpus 0 5em first cycle essays 1 20 renewal sequence essays 1 20	Trust Dynamics: Complete Corpus [0.5em] First Cycle (Essays 1--20) $$ Renewal Sequence (Essays 1--20)	standalone	1	standardgalactic/spherepop/processing/adaptive-trust/corpus.tex
trust optimization in biotech ecosystems sith for entropy regulated innovation	Trust Optimization in Biotech Ecosystems: SITH for Entropy-Regulated Innovation	standalone	1	standardgalactic/spherepop/processing/adaptive-trust/Adaptive_Trust_Dynamics_Corpus/Cycle2_Renewal/essay_2_19.tex
two channel causal mediation regime structure and resilience in mechanistic and knowledge networks	Two-Channel Causal Mediation, Regime Structure, and Resilience in Mechanistic and Knowledge Networks	standalone	1	standardgalactic/research-projects/interpretability/Two-Channel Causal Mediation.tex
types as refusal structures toward a calculus of constructions in spherepop	Types as Refusal Structures Toward a Calculus of Constructions in Spherepop	standalone	1	standardgalactic/spherepop/textbook/refusal-structures.tex
unfinishable games real time structure as a distinct mechanism of extraction	Unfinishable Games: Real-Time Structure as a Distinct Mechanism of Extraction	standalone	1	standardgalactic/antivenom/monograph/unfinishable-games.tex
variational curvature predictive geometry and the maintenance of agency	Variational Curvature, Predictive Geometry, and the Maintenance of Agency	standalone	1	standardgalactic/antivenom/active-inference/variational-curvature.tex
velocity austerity field dynamics and the endogenous regulation of transformation	Velocity: Austerity, Field Dynamics, and the Endogenous Regulation of Transformation	standalone	1	standardgalactic/antivenom/boundaries/escape_velocity.tex
verification inheritance under transformation robust commitments claim correspondence and epistemic validity in mathematical documents	Verification Inheritance Under Transformation Robust Commitments, Claim Correspondence, and Epistemic Validity in Mathematical Documents	standalone	2	8b-is/claimshift/verification-inheritance-transformation.tex
verification and proof manual for the rsvp polyxan architecture	Verification and Proof Manual for the RSVP--Polyxan Architecture	standalone	1	standardgalactic/research-projects/proof-specification.tex
viewpoint diversity cultural constructs and the architecture of mind	Viewpoint Diversity: Cultural Constructs and the Architecture of Mind	standalone	1	standardgalactic/library/system/viewpoint-diversity.tex
visions and boundaries swedenborg kant and the modern crisis of mind	Visions and Boundaries: Swedenborg, Kant, and the Modern Crisis of Mind	standalone	1	standardgalactic/alphabet/screenplay/visions-and-boundaries.tex
what collapse should forget a retention calculus for spherepop	What Collapse Should Forget: A Retention Calculus for Spherepop	standalone	2	standardgalactic/computation/collapse_retention.tex
what survives reconstruction 0 4em admissibility irreversibility and the architecture of externalized structure	What Survives Reconstruction [0.4em] Admissibility, Irreversibility, and the Architecture of Externalized Structure	standalone	1	standardgalactic/alphabet/pipeline/what-survives-reconstruction.tex
when engagement stops pointing goodhart s law and the collapse of social discovery	When Engagement Stops Pointing: Goodhart’s Law and the Collapse of Social Discovery	standalone	1	standardgalactic/antivenom/When Engagement Stops Pointing.tex
when noise becomes structure microbiomes projection failure and the recovery of ecological organization	When Noise Becomes Structure: Microbiomes, Projection Failure, and the Recovery of Ecological Organization	standalone	1	standardgalactic/alphabet/research/noise-becomes-structure.tex
world models structural constraints and deterministic histories a unified critique of autoregressive intelligence	World Models, Structural Constraints, and Deterministic Histories: A Unified Critique of Autoregressive Intelligence	standalone	1	standardgalactic/antivenom/world-models.tex
worldline selection under constraint equilibrium pruning in an event historical framework	Worldline Selection Under Constraint: Equilibrium Pruning in an Event-Historical Framework	standalone	1	standardgalactic/library/Worldline Selection Under Constraint.tex
